2026-03-10 11:14:49.245219+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           34
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD2/AS213/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.316819+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.318204+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "2-213"}
2026-03-10 11:14:49.345345+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "2-213", "index": 0}
2026-03-10 11:14:49.347423+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "2-213", "local": "10.0.2.13:30001"}
2026-03-10 11:14:49.348375+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "2-213", "local_addr": "10.0.2.13:51210", "remote_isd_as": "2-210", "remote_addr": "10.0.2.10:51210", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.349937+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "2-213", "local_addr": "10.0.2.13:51211", "remote_isd_as": "2-211", "remote_addr": "10.0.2.11:51211", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.350917+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-213", "svc": "DS", "address": "10.0.2.13:30254"}
2026-03-10 11:14:49.351968+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-213", "svc": "CS", "address": "10.0.2.13:30254"}
2026-03-10 11:14:49.352998+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.353973+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 2-213, BR.Name: br-1"}
2026-03-10 11:14:49.369166+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.373082+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.402482+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.402537+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.402569+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.402716+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.402725+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.402740+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.402750+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
