2026-03-10 11:14:49.244116+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           34
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD3/AS314/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.361134+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.366843+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "3-314"}
2026-03-10 11:14:49.369931+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "3-314", "index": 0}
2026-03-10 11:14:49.372004+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "3-314", "local": "10.0.3.14:30001"}
2026-03-10 11:14:49.373210+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "3-314", "local_addr": "10.0.3.14:51320", "remote_isd_as": "3-310", "remote_addr": "10.0.3.10:51320", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.375471+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "3-314", "local_addr": "10.0.3.14:51321", "remote_isd_as": "3-311", "remote_addr": "10.0.3.11:51321", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.383045+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-314", "svc": "DS", "address": "10.0.3.14:30254"}
2026-03-10 11:14:49.384498+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-314", "svc": "CS", "address": "10.0.3.14:30254"}
2026-03-10 11:14:49.389362+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.393284+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 3-314, BR.Name: br-1"}
2026-03-10 11:14:49.398887+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.404701+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.427812+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 0}
2026-03-10 11:14:49.428439+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.428499+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 0}
2026-03-10 11:14:49.428514+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
2026-03-10 11:14:49.428524+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 1}
2026-03-10 11:14:49.428536+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.428544+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 2}
2026-03-10 11:14:49.428553+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.428563+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.428574+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.428583+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.428592+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:49.428602+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 5}
2026-03-10 11:14:51.776949+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.777484+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:51.785079+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
