2026-03-10 11:14:49.244963+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           35
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD3/AS312/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.330350+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.334601+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "3-312"}
2026-03-10 11:14:49.340166+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "3-312", "index": 0}
2026-03-10 11:14:49.344072+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "3-312", "local": "10.0.3.12:30001"}
2026-03-10 11:14:49.347267+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "3-312", "local_addr": "10.0.3.12:51300", "remote_isd_as": "3-310", "remote_addr": "10.0.3.10:51300", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.348416+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "3-312", "local_addr": "10.0.3.12:51301", "remote_isd_as": "3-311", "remote_addr": "10.0.3.11:51301", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.355321+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-312", "svc": "DS", "address": "10.0.3.12:30254"}
2026-03-10 11:14:49.356958+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-312", "svc": "CS", "address": "10.0.3.12:30254"}
2026-03-10 11:14:49.359257+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.362491+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 3-312, BR.Name: br-1"}
2026-03-10 11:14:49.368704+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.372797+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.399371+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 0}
2026-03-10 11:14:49.399447+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.399486+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 0}
2026-03-10 11:14:49.399506+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
2026-03-10 11:14:49.399517+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 1}
2026-03-10 11:14:49.399533+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.399542+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 2}
2026-03-10 11:14:49.399550+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.399561+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.399569+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.399577+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.399586+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:49.399595+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 5}
2026-03-10 11:14:51.801602+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.802222+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:51.806906+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.807747+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.279233+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.279466+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.279540+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.279888+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.778051+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.778352+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.778483+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.779178+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.277155+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.277530+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.277350+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.278058+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.778187+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.778582+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.778811+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.779248+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:54.276973+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:54.277221+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:54.277363+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:54.277801+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:54.778091+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:54.778528+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:54.778416+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:54.779028+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:55.277358+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:55.277640+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:55.277752+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:55.278020+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:55.778010+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:55.778430+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:55.778449+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:55.779221+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
