2026-03-10 11:14:49.525903+0000	INFO	             env/logging.go:42	=====================> Service started SCION Control Service cs-1
  Scion version: 

  pid:           36
  euid/egid:     0 0
  cmd line:      ["bin/control" "--config" "/root/escenario/ISD1/AS113/config/tmp/cs1-tmp.toml"]

2026-03-10 11:14:51.293939+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "82012246", "isd_as": "1-111", "validity": "not_before=2026-03-10T11:10:19Z, not_after=2026-03-10T17:10:19Z", "subject_key_id": "50305dac98d105051f2a9750312c8e459ccac427"}
2026-03-10 11:14:51.293998+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "62787f8e", "isd_as": "1-110", "validity": "not_before=2026-03-10T11:10:19Z, not_after=2026-03-10T17:10:19Z", "subject_key_id": "30bb7ee27b62db9d4b1d493cce532d9217e54cea"}
2026-03-10 11:14:51.304738+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "82012246", "isd_as": "1-111", "svc": "CS"}
2026-03-10 11:14:51.304859+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "82012246", "isd_as": "1-110", "svc": "CS"}
2026-03-10 11:14:51.312827+0000	DEBUG	            appnet/addr.go:142	SVC resolution failed	{"debug_id": "82012246", "err": {"msg": "unable to read", "cause": "ExternalInterfaceDown"}}
2026-03-10 11:14:51.313613+0000	ERROR	       beaconing/writer.go:324	Unable to register segment	{"debug_id": "82012246", "seg_type": "down", "addr": "1-111,CS", "err": {"msg": "resolving SVC address", "cause": {"msg": "unable to read", "cause": "ExternalInterfaceDown"}}}
2026-03-10 11:14:51.315486+0000	DEBUG	            appnet/addr.go:142	SVC resolution failed	{"debug_id": "82012246", "err": {"msg": "unable to read", "cause": "ExternalInterfaceDown"}}
2026-03-10 11:14:51.316262+0000	ERROR	       beaconing/writer.go:324	Unable to register segment	{"debug_id": "82012246", "seg_type": "down", "addr": "1-110,CS", "err": {"msg": "resolving SVC address", "cause": {"msg": "unable to read", "cause": "ExternalInterfaceDown"}}}
2026-03-10 11:14:51.316693+0000	ERROR	       beaconing/writer.go:110	Unable to register	{"debug_id": "82012246", "seg_type": "down", "err": {"msg": "no beacons registered", "stacktrace": ["github.com/scionproto/scion/control/beaconing.(*RemoteWriter).Write /home/alonso/Escritorio/scion-orchestrator/dev/scion/control/beaconing/writer.go:191", "github.com/scionproto/scion/control/beaconing.(*WriteScheduler).run /home/alonso/Escritorio/scion-orchestrator/dev/scion/control/beaconing/writer.go:124", "github.com/scionproto/scion/control/beaconing.(*WriteScheduler).Run /home/alonso/Escritorio/scion-orchestrator/dev/scion/control/beaconing/writer.go:109", "github.com/scionproto/scion/private/periodic.(*Runner).onTick /home/alonso/Escritorio/scion-orchestrator/dev/scion/private/periodic/periodic.go:206", "github.com/scionproto/scion/private/periodic.(*Runner).runLoop /home/alonso/Escritorio/scion-orchestrator/dev/scion/private/periodic/periodic.go:188", "github.com/scionproto/scion/private/periodic.StartWithMetrics.func1 /home/alonso/Escritorio/scion-orchestrator/dev/scion/private/periodic/periodic.go:138"], "candidates": 2}}
2026-03-10 11:14:51.341497+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "62787f8e", "segments": ["1e07bf3ba16bbf341b054d59", "3daa025c03096d4c38583547"]}
2026-03-10 11:14:51.342279+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "62787f8e", "seg_type": "up", "count": 2, "start_isd_ases": 2}
2026-03-10 11:14:51.768956+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "82012246", "isd_as": "1-110", "svc": "CS"}
2026-03-10 11:14:51.768983+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "82012246", "isd_as": "1-111", "svc": "CS"}
