2026-03-10 11:14:49.244754+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           33
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD1/AS113/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.329616+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.338256+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "1-113"}
2026-03-10 11:14:49.340549+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "1-113", "index": 0}
2026-03-10 11:14:49.343825+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "1-113", "local": "10.0.1.13:30001"}
2026-03-10 11:14:49.346267+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "1-113", "local_addr": "10.0.1.13:51110", "remote_isd_as": "1-110", "remote_addr": "10.0.1.10:51110", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.348307+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "1-113", "local_addr": "10.0.1.13:51111", "remote_isd_as": "1-111", "remote_addr": "10.0.1.11:51111", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.355159+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "1-113", "svc": "DS", "address": "10.0.1.13:30254"}
2026-03-10 11:14:49.357240+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "1-113", "svc": "CS", "address": "10.0.1.13:30254"}
2026-03-10 11:14:49.359290+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.360753+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 1-113, BR.Name: br-1"}
2026-03-10 11:14:49.368516+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.371623+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.394525+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.398005+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.394531+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.397399+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 0}
2026-03-10 11:14:49.397437+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 0}
2026-03-10 11:14:49.397495+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
2026-03-10 11:14:49.397521+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 1}
2026-03-10 11:14:49.397552+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.397563+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 2}
2026-03-10 11:14:49.397579+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.397590+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.399463+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 5}
2026-03-10 11:14:49.399501+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:51.308320+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.309241+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:51.312649+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.313470+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:51.769499+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
