2026-03-10 11:14:49.242168+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           32
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD2/AS212/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.323189+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.327712+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "2-212"}
2026-03-10 11:14:49.337200+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "2-212", "index": 0}
2026-03-10 11:14:49.340630+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "2-212", "local": "10.0.2.12:30001"}
2026-03-10 11:14:49.344023+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "2-212", "local_addr": "10.0.2.12:51200", "remote_isd_as": "2-210", "remote_addr": "10.0.2.10:51200", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.347270+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "2-212", "local_addr": "10.0.2.12:51201", "remote_isd_as": "2-211", "remote_addr": "10.0.2.11:51201", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.348894+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-212", "svc": "DS", "address": "10.0.2.12:30254"}
2026-03-10 11:14:49.354933+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-212", "svc": "CS", "address": "10.0.2.12:30254"}
2026-03-10 11:14:49.356608+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.358353+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 2-212, BR.Name: br-1"}
2026-03-10 11:14:49.368167+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.373270+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.399945+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 0}
2026-03-10 11:14:49.400043+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.400085+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 0}
2026-03-10 11:14:49.400103+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
2026-03-10 11:14:49.400112+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 1}
2026-03-10 11:14:49.400120+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.400128+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 2}
2026-03-10 11:14:49.400149+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.400161+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.400171+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.400179+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.400188+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:49.400197+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 5}
2026-03-10 11:14:51.849460+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.850597+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:51.850346+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:51.851557+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.333311+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.333311+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.333660+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.334209+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.831552+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.831755+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:52.831790+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:52.832107+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.331545+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.331741+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.331800+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.332143+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.831973+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.832284+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:53.832148+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:53.832721+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
2026-03-10 11:14:54.331642+0000	DEBUG	      router/dataplane.go:1775	SCMP response	{"cause": "bfd session down"}
2026-03-10 11:14:54.331888+0000	DEBUG	      router/dataplane.go:2597	scmp	{"typecode": "ExternalInterfaceDown"}
