2026-03-10 11:14:49.247121+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           34
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD2/AS214/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.321619+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.322418+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "2-214"}
2026-03-10 11:14:49.328839+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "2-214", "index": 0}
2026-03-10 11:14:49.330504+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "2-214", "local": "10.0.2.14:30001"}
2026-03-10 11:14:49.332388+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "2-214", "local_addr": "10.0.2.14:51220", "remote_isd_as": "2-210", "remote_addr": "10.0.2.10:51220", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.333663+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "2-214", "local_addr": "10.0.2.14:51221", "remote_isd_as": "2-211", "remote_addr": "10.0.2.11:51221", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.335162+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-214", "svc": "DS", "address": "10.0.2.14:30254"}
2026-03-10 11:14:49.337611+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "2-214", "svc": "CS", "address": "10.0.2.14:30254"}
2026-03-10 11:14:49.341218+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.346313+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 2-214, BR.Name: br-1"}
2026-03-10 11:14:49.368841+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.380098+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.409951+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.410033+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.410072+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.410085+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:49.410093+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 5}
2026-03-10 11:14:49.410107+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
