2026-03-10 11:14:49.278705+0000	INFO	             env/logging.go:42	=====================> Service started SCION Router br-1
  Scion version: 

  pid:           35
  euid/egid:     0 0
  cmd line:      ["bin/router" "--config" "/root/escenario/ISD3/AS313/config/tmp/br1-tmp.toml"]

2026-03-10 11:14:49.359050+0000	DEBUG	          control/iactx.go:111	Configuring Dataplane
2026-03-10 11:14:49.360710+0000	DEBUG	        router/connector.go:54	CreateIACtx	{"isd_as": "3-313"}
2026-03-10 11:14:49.370008+0000	DEBUG	       router/connector.go:169	Setting key	{"isd_as": "3-313", "index": 0}
2026-03-10 11:14:49.394665+0000	DEBUG	        router/connector.go:66	Adding internal interface	{"isd_as": "3-313", "local": "10.0.3.13:30001"}
2026-03-10 11:14:49.396542+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "1", "local_isd_as": "3-313", "local_addr": "10.0.3.13:51310", "remote_isd_as": "3-310", "remote_addr": "10.0.3.10:51310", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.401471+0000	DEBUG	        router/connector.go:89	Adding external interface	{"interface": "2", "local_isd_as": "3-313", "local_addr": "10.0.3.13:51311", "remote_isd_as": "3-311", "remote_addr": "10.0.3.11:51311", "owned": true, "link_bfd_configured": false, "link_bfd_enabled": true, "dataplane_bfd_enabled": true}
2026-03-10 11:14:49.406331+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-313", "svc": "DS", "address": "10.0.3.13:30254"}
2026-03-10 11:14:49.406657+0000	DEBUG	       router/connector.go:147	Adding service	{"isd_as": "3-313", "svc": "CS", "address": "10.0.3.13:30254"}
2026-03-10 11:14:49.407129+0000	DEBUG	       router/connector.go:245	Endhost port range configuration	{"startPort": 30000, "endPort": 32767}
2026-03-10 11:14:49.407775+0000	DEBUG	          control/iactx.go:119	Dataplane configured successfully	{"config": "{IA: 3-313, BR.Name: br-1"}
2026-03-10 11:14:49.412458+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.1:30401"}
2026-03-10 11:14:49.413351+0000	DEBUG	       router/dataplane.go:678	Initialize packet pool of size	{"poolSize": 4103}
2026-03-10 11:14:49.431020+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 0}
2026-03-10 11:14:49.431308+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 1}
2026-03-10 11:14:49.431330+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 4}
2026-03-10 11:14:49.431393+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 1}
2026-03-10 11:14:49.431437+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 3}
2026-03-10 11:14:49.431409+0000	DEBUG	       router/dataplane.go:815	Initialize processor with	{"id": 2}
2026-03-10 11:14:49.431454+0000	DEBUG	      router/dataplane.go:1036	Initialize forwarder for	{"interface": 2}
2026-03-10 11:14:49.431471+0000	DEBUG	       router/dataplane.go:872	Initialize slow-path processor with	{"id": 0}
2026-03-10 11:14:49.431473+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 2}
2026-03-10 11:14:49.431484+0000	DEBUG	       router/dataplane.go:709	Run receiver for	{"interface": 0}
